event,V2__log_crest,V2__log_kurtosis,V2__signed_asymmetry,V2__energy_width,V2__energy_asymmetry,V2__envelope_occupancy,V2__top1pct_energy,V2__zero_crossing,V2__autocorr_peak,V2__spectral_entropy,V2__log_f50,V2__log_bandwidth,V2__spectral_peak3,V5__log_crest,V5__log_kurtosis,V5__signed_asymmetry,V5__energy_width,V5__energy_asymmetry,V5__envelope_occupancy,V5__top1pct_energy,V5__zero_crossing,V5__autocorr_peak,V5__spectral_entropy,V5__log_f50,V5__log_bandwidth,V5__spectral_peak3,V1V2__log_crest,V1V2__log_kurtosis,V1V2__signed_asymmetry,V1V2__energy_width,V1V2__energy_asymmetry,V1V2__envelope_occupancy,V1V2__top1pct_energy,V1V2__zero_crossing,V1V2__autocorr_peak,V1V2__spectral_entropy,V1V2__log_f50,V1V2__log_bandwidth,V1V2__spectral_peak3,V3V4__log_crest,V3V4__log_kurtosis,V3V4__signed_asymmetry,V3V4__energy_width,V3V4__energy_asymmetry,V3V4__envelope_occupancy,V3V4__top1pct_energy,V3V4__zero_crossing,V3V4__autocorr_peak,V3V4__spectral_entropy,V3V4__log_f50,V3V4__log_bandwidth,V3V4__spectral_peak3,SCM4__log_crest,SCM4__log_kurtosis,SCM4__signed_asymmetry,SCM4__energy_width,SCM4__energy_asymmetry,SCM4__envelope_occupancy,SCM4__top1pct_energy,SCM4__zero_crossing,SCM4__autocorr_peak,SCM4__spectral_entropy,SCM4__log_f50,SCM4__log_bandwidth,SCM4__spectral_peak3,pair_V2_V5__abs_corr,pair_V2_V5__env_corr,pair_V2_V1V2__abs_corr,pair_V2_V1V2__env_corr,pair_V2_V3V4__abs_corr,pair_V2_V3V4__env_corr,pair_V2_SCM4__abs_corr,pair_V2_SCM4__env_corr,pair_V5_V1V2__abs_corr,pair_V5_V1V2__env_corr,pair_V5_V3V4__abs_corr,pair_V5_V3V4__env_corr,pair_V5_SCM4__abs_corr,pair_V5_SCM4__env_corr,pair_V1V2_V3V4__abs_corr,pair_V1V2_V3V4__env_corr,pair_V1V2_SCM4__abs_corr,pair_V1V2_SCM4__env_corr,pair_V3V4_SCM4__abs_corr,pair_V3V4_SCM4__env_corr,pair_V2_V5__coherence,pair_V1V2_V3V4__coherence,pair_V1V2_SCM4__coherence,pair_V3V4_SCM4__coherence
1528,0.5474068710723953,0.45702400031430473,0.05037111393038022,0.877412417448641,0.04656670442887602,0.9921875,0.07739911457873526,0.33130893887142554,0.6558643412355191,0.4916480133610306,5.174239417982694,5.872864584130368,0.30673825160705614,0.5448632107547045,0.5147811249948524,-0.20087065366032023,0.8995746730872791,0.008285395042345463,1.0,0.0727363733088122,0.32575457014679404,0.8789852107361282,0.3915444880100233,5.650053859225239,5.778406515530431,0.5901242192093823,0.6181262108700804,0.4619567543361859,0.015599945299821184,0.8738796559222183,0.10808794193201109,0.6875,0.07877200743866089,0.39414654988250375,0.6190817822979253,0.4665000252718285,4.057911888359695,5.872143073021867,0.34405005189511156,0.5856196749235135,0.4705221988025421,0.008196040716781748,0.867986755284601,0.1610825079677526,0.4921875,0.08106434239878564,0.22443311868648336,0.5188619933866582,0.47012633426333494,3.998459762082754,5.872230602472455,0.30126138889320503,0.3424349795164493,0.26520262941470496,-0.401137918574503,0.8984417579403401,-0.00740107942208599,1.0,0.03668368088916452,0.15561387981810967,0.9817144905764592,0.16418078446017684,5.175479514699185,5.17710968560042,0.9257792142349188,0.18630229455921068,0.09829995492427872,0.7924232410559975,0.9519019251429041,0.6235595607327347,0.9320800647724631,0.3721022898491125,-0.10687776606856558,0.11397430058933938,0.12787982362299477,0.24887655088074553,0.12571215183031192,0.11966928404047612,-0.14881414827528097,0.7078265678207648,0.9858301506611973,0.17411020411723666,-0.16905135507025473,0.006279979795364129,-0.1900369024546001,0.8443890521076385,0.9402872218546111,0.8732298042106174,0.8874392716516935
1529,0.7147028674792618,0.6894522136888547,0.11316919467946945,0.5255158135192499,-0.1851146670423222,0.2421875,0.1281375055333917,0.24845118564409313,0.8873808796449025,0.42109007164973306,5.112348462203446,5.793499379044618,0.42205321233401794,0.5269200484779362,0.5203348007481489,-0.20209041239655215,0.9009776405043225,0.0006708096772791285,1.0,0.07407236778034403,0.3196813867610706,0.8836922871596089,0.38483755384646945,5.5863708011421025,5.778395131647235,0.5969984712450318,0.7024871890547281,0.7232381063644987,-0.07498684023189708,0.4618542062384607,-0.23156436387308846,0.25,0.1347567871508847,0.36143070772423475,0.9055622532286602,0.41734629061254996,5.113143885642115,5.793515951098336,0.39080663700363494,0.7110119794615064,0.828237718556506,0.028788327650919494,0.4214070709816713,0.11285125958769708,0.1328125,0.15910097777930188,0.271523178807947,0.9430474702739935,0.36519192645671833,5.11106189861183,4.2780794572364105,0.5372612521880692,0.5030162949020083,0.3548448151666867,0.13203772089295895,0.8936564455008144,-0.0083151994964555,1.0,0.05873525518376664,0.30063783684804835,0.8304889804315847,0.4065356045540538,5.476587260890343,5.540363216438048,0.5680006744959996,0.08811243084951105,0.05471747637104862,0.9408497114639359,0.9849222153047924,0.7858823856261365,0.9122420162118814,0.09075770196547646,-0.03759687882111929,0.05792987938167582,0.05575587327779574,0.10713374134940838,0.003346852225021607,0.09022222814812016,-0.10526669393357502,0.8117879110863017,0.9020395615201497,0.04693521853168646,-0.04720575057683359,0.03099549100191492,-0.03713488576749503,0.773507995890815,0.8333116871580301,0.329638650389747,0.32333329219860574
1530,0.5702043613579151,0.44769978274671646,0.00293623685561387,0.8766554339729098,-0.011026341083666099,1.0,0.0736124586497486,0.39210180974761194,0.8725569016129305,0.4555814140545813,5.6531330722240885,5.938701546965271,0.4646737292635722,0.518203753830263,0.514626431836389,-0.1950871161932933,0.9016246757317651,-0.007902162732960755,1.0,0.07309721026605963,0.325968199713126,0.8804027670162868,0.38799996921689767,5.617678707222106,5.77839538539228,0.5937680704483344,0.5987529964388627,0.44281732884755787,-0.03252482897789248,0.9006189937514862,0.008633194667984727,1.0,0.07488160511333812,0.5861079744865261,0.7891860492831776,0.44347250839538155,5.874796156276662,5.86970665232817,0.5645095699274212,0.758862992011523,0.7184039383308124,0.036008384038763,0.8581093347906646,-0.019414829232728643,0.03125,0.16314021682104396,0.3297219763786737,0.5270547849332313,0.5310942164425886,4.158518836818685,5.870480311793481,0.21596720353249133,0.4531324522592927,0.40270103001180335,-0.5732900836380561,0.9033083385261145,0.04558818687428115,1.0,0.057274134131621995,0.1599780266731773,0.9409414958808442,0.24788497878935067,5.175560322381148,5.17841931510086,0.815171763774863,0.22405092844194233,0.18779918684102254,0.5950664083025717,0.2346978470011093,0.21122862046513097,0.1053442732289324,0.41581984500092445,-0.22259577505582806,0.17380980624296247,-0.07463652286484905,0.3002262945942301,-0.08891225868601736,0.2715001982374271,-0.05303605143253427,0.37335658387176074,0.8951684368145622,0.20775339358277084,-0.08412314110009711,0.10543467068351142,-0.08192951025831291,0.8596081117499801,0.8520505100910668,0.8040069260502434,0.7901895739312369
2059,0.7541922763706506,0.8505697828027609,0.007518328122878347,0.7149739155311172,0.12071130004020686,0.0625,0.18705515483582555,0.20725119785149693,0.866813832246799,0.39804003519855896,4.7899682025809485,5.710304448489017,0.3730301754970248,0.5271859170409543,0.5127506635627664,-0.15099899676417974,0.9000049886737438,-0.004339576143913843,1.0,0.07252267664561103,0.35013885921811577,0.8831079209401957,0.38506164146109056,5.627613055888241,5.778396448531715,0.594458774148362,0.7436696090179655,0.8320992600849832,0.0036221395532389147,0.7454380273708013,0.12775347505643173,0.0625,0.1830827230939165,0.29572435682241277,0.8889505638817689,0.40481345224520177,4.790378544797089,5.841004578545049,0.35264124664688024,0.7136798173927452,0.8102767892827568,-0.016730529757307537,0.7402719281005216,0.1664140898565953,0.078125,0.17280919861111135,0.18185979796746726,0.8887796156429985,0.39394188767266736,4.78924078317116,5.017678822071509,0.37870319439368405,0.4535192231766824,0.495912857984706,0.6387820742093844,0.8991867390602133,-0.042629897599778095,1.0,0.061775988183511835,0.16162602618488114,0.9598292847434817,0.23551925565951928,5.175641631362382,5.178448974175094,0.7802780710971869,0.07887285816614618,-0.1637745592870632,0.9489167515166879,0.9992369027633147,0.8661312904350678,0.9946081178825882,0.09401855033142352,-0.19770320152971216,0.05128656531447731,-0.15964480537290818,0.14954162056645123,-0.17510641825693538,0.2491020644273309,-0.004917575464210129,0.8446403416305361,0.9926487307070011,0.07436960000548268,-0.1875550862656252,0.0948255948776053,-0.19015191053798017,0.7935469838575222,0.9774444957125249,0.7490193482843055,0.7868834988367974
2060,0.5247101474920374,0.46099928590640643,0.009134573515261637,0.7991616780883141,-0.07662847672051686,0.3828125,0.07595399793192047,0.13657032990508744,0.9334856863537926,0.23642261482813862,4.750092767542196,5.331527890771342,0.8395959568891618,0.5285808039936182,0.5082969845627934,-0.14530948456257525,0.8992396225104411,-0.004650137993573688,1.0,0.07185706114103776,0.35065767387920777,0.8837325576527728,0.3860150551924091,5.640657248107476,5.778399226200231,0.5907129337865732,0.5556633981588653,0.46017386930898957,0.0032518294194205815,0.808984711405862,-0.08073877084415217,0.390625,0.07612775825838876,0.1869258705404828,0.9226622016437619,0.24521945764052605,4.7503209580427646,5.841486859613067,0.8159252052593085,0.5056507293212535,0.45147410074224825,0.008176221569559996,0.7677970837831457,-0.06596186887090599,0.40625,0.07176617095213755,0.11267433698538164,0.9512295491705874,0.21723334303870268,4.749335301770777,3.855210230261147,0.8822715681201676,0.3954191595618342,0.3989602205541188,0.6229028622718298,0.898244321411013,-0.03627656432808667,1.0,0.04805873855993528,0.1554002502517777,0.9787303167706802,0.17522193608528147,5.175494749518681,5.177418467106774,0.9089726939904068,0.06943661960985693,-0.005483574710834936,0.9621174109479086,0.9976642741550966,0.8984958637300244,0.9746248174747394,0.10345948626008715,0.014628007237198749,0.04094954915894455,-0.0070186621415632795,0.11039728517588027,-0.008032213719671936,0.2428586253376638,0.1411628744016538,0.8834670803759508,0.9620031528899571,0.07431461120812022,0.007899718027167749,0.0581568382842941,0.025073996086319796,0.8260364759142467,0.9759323225943592,0.8440265516502814,0.860011351074282
2061,0.708673851460288,0.7804623425677639,0.006220188622658271,0.4888748431389697,-0.010817311734220637,0.203125,0.15411379787666693,0.2512283700064089,0.861950046002453,0.3719107832562297,4.789197308957458,5.8177041935547145,0.3962374358180357,0.5317111617861942,0.5117058990103865,-0.15598968512312,0.9011221055141847,-0.0030362784314717207,1.0,0.07392302277876757,0.3539536729026154,0.8792392219008747,0.39051069013225254,5.652332703983233,5.778427567460651,0.5895272098308657,0.6969082488945854,0.7630058405100607,0.005758128695773145,0.5369221408291709,-0.05133649596885326,0.203125,0.15081485487434035,0.3466597491378521,0.8708607411843515,0.3814403064728471,4.790446776251747,5.841038193412902,0.36337300228784203,0.7188551922042865,0.783158615135797,0.03467634945181826,0.43099588082866963,0.027412663742199365,0.21875,0.1521159835547295,0.24045533616138187,0.8891624809870569,0.3471609293863963,4.785546042167442,4.970968760083395,0.48290159824841844,0.29527312342393935,0.24121630836504734,-0.11593216442124016,0.8999524577954419,0.011302728709011747,1.0,0.03102516970396673,0.1554307687612537,0.9824216674367634,0.14465256886508407,5.175432603400449,3.0800891222113624,0.9702659471588502,0.08457675937297826,0.005651438770970537,0.9520815748867233,0.9990214161152295,0.8815676668369498,0.9926030229586126,0.14194910678341893,-0.12736035669099235,0.05568942599301288,0.003644474281413844,0.12405971342397913,0.01553250730657044,0.38868377173963364,-0.06072881412843341,0.8566912871231451,0.9881252052229526,0.11039363236685265,-0.13049545677095983,0.0842543988138524,-0.12842943540532634,0.8027633454935194,0.9817749071489102,0.8709550448766782,0.8626661449593126
2062,0.6177095794984871,0.738707733106702,-0.004654937815697548,0.5666006295108902,0.6510956246308416,0.140625,0.12358308245046795,0.17880794701986755,0.9733038581304421,0.3038384742242814,4.789860645895636,3.583893052983616,0.5755851993714286,0.5136416106994465,0.509438588172578,-0.15010979229957988,0.900683270719402,0.004170234282348567,1.0,0.07091352222919685,0.34815515610217596,0.8838930702629464,0.3849722766362782,5.625554697168538,5.778381935050796,0.5931629277150672,0.6293873731897011,0.7362863916082968,0.0045009658633845175,0.56663759296277,0.6489310532376336,0.140625,0.12393393917684634,0.24097415082247384,0.9740404223394021,0.3087255550917698,4.789904410264725,3.618403496606224,0.5678429792547812,0.6342062741930368,0.7464666749754401,-0.00272084211979475,0.5624147038674596,0.6496526620658782,0.125,0.1272701700294633,0.1512497329630421,0.9798122648851706,0.3009101111926904,4.789847542809415,3.5735161119429653,0.5767036150761179,0.5157460051148753,0.4846383811595363,0.4756306386935434,0.8945665416158907,0.060902335909034905,1.0,0.07123773590944676,0.29181798760948513,0.8970809640250916,0.3399890949357145,5.4764604969477295,5.402281580335268,0.6382363417057588,0.03773991613214748,0.1459902662883046,0.9877455654232133,0.9996608417497694,0.9615014424139273,0.9981303650811467,0.025425842795067103,0.13609426318318835,0.03181756726247999,0.14499670297636272,0.06630158909681948,0.15030385689650305,0.27966308596138056,-0.06164000841082094,0.9605552623634899,0.9976035230003311,0.017541236689885116,0.14093149184569595,0.020091355470346184,0.14328662242078705,0.7385054881760418,0.9929056993842922,0.5423100228105858,0.5292019058066597
2063,0.5898318253380823,0.5459804205930447,0.005762564393475172,0.7166332277249728,0.08089769139478019,0.2421875,0.09737700826112557,0.17981505783257545,0.9196241528389515,0.26931446739584786,4.747877311190764,5.841545253307785,0.7432288848636286,0.5372400661246413,0.5133459512783384,-0.15825435283457126,0.9019711483265238,-0.0009368937085262516,1.0,0.07262387596515166,0.3511459700308237,0.8840028920294963,0.3854676557174473,5.6315343679624235,5.778411913991849,0.5937201139951707,0.6191084127429338,0.5445835190635353,-0.001226309741381862,0.7603004592270395,0.01725857961996189,0.2421875,0.09818301232553214,0.2673421430097354,0.9085628901508226,0.2935842856451052,4.748327629833069,5.841857520274211,0.6885073629011398,0.5896251959604187,0.5427391270560095,-0.010848242586478013,0.6874460682859449,0.1240118199922373,0.25,0.09509409469741659,0.14172795800653096,0.9439398408807649,0.24406895842176268,4.74780973741503,4.97551737726079,0.7876262200796456,0.4916620402191027,0.4483526370446936,0.5087230854057688,0.8970406269977974,0.0415015171220158,1.0,0.06501637193158516,0.16992706076235237,0.9153421616728421,0.27790351165680877,5.175556878703128,5.307382372951624,0.79345282503386,0.07587925008593109,-0.06209932710315456,0.9431188231186192,0.9968665214251426,0.8807409363974429,0.989186840685521,0.13248131651281703,0.06210115059867993,0.0675526082337182,-0.05390812272142529,0.12390285232246966,-0.06469205659016608,0.11128099188789616,-0.017590592961651625,0.845914062149103,0.9820367349816252,0.08441115213571133,0.07821221199607803,0.0003015358732546581,0.021171723287189647,0.8177696298751885,0.960319150005516,0.7341986260673168,0.7408238939554609
2064,0.7830107099402578,0.9115948767016016,-0.01917366685863653,0.7293123299595081,0.0844749426662899,0.0625,0.21005966779205396,0.28180791650135806,0.9279529179053878,0.3949833880872682,4.7709593574166975,5.841375120960326,0.40696325558908913,0.5006360103037869,0.5105723354165717,-0.13990980552488383,0.8998805226098429,-0.005331990528124268,1.0,0.07217146839356252,0.3497726371044038,0.8824712952592011,0.3858281161283886,5.621778898865444,5.778416617504683,0.5931680704216846,0.8019562205433555,0.8933073107892255,0.01888516356370035,0.7394292995778945,0.08411649749673991,0.0625,0.2049303360543211,0.40125736259041106,0.9218097355474177,0.3998456967045533,4.772307555606773,5.841323768546191,0.39652797236880377,0.7685516372163257,0.9212484897880294,-0.021952710428175738,0.7305515898404348,0.09697809935079572,0.0625,0.21224833600184426,0.2161320841090121,0.9139685061056755,0.3751320120591272,4.769798752095421,5.692943402861016,0.42837939742308734,0.5103754739195827,0.38015479915362715,0.0389802724664766,0.9020807243940314,0.04686083593186924,1.0,0.061607827255484915,0.18646809289834285,0.8040546884726454,0.40063714688632585,5.175627263385734,5.5591525966112,0.6306769994301094,0.10068664609644556,-0.11118770368755669,0.915112596257827,0.998174610689565,0.8088794333031285,0.9955759604741585,0.1257546806037934,-0.03047948786921883,0.08466690903703583,-0.10681712229689787,0.17206446934170602,-0.11608869782097885,0.22200467296014756,-0.028393348077434898,0.7695950761050558,0.9898584332846354,0.0732603035880223,-0.029742831016059172,0.02502996885207067,-0.03477275286871927,0.818624359782706,0.9625370487606417,0.6362336541509488,0.6559332228993868
2065,0.6592440738795884,0.5643425778233806,0.020911212348218366,0.769441249759874,0.01299316132131043,0.109375,0.11187318547232536,0.2401806695760979,0.8995730024972004,0.411149419188232,4.775275112264059,5.8413757415234135,0.3719095130985884,0.5280275708325286,0.5100749867685483,-0.16751211341708463,0.8997922751246156,0.008067472552505213,1.0,0.07274394291841364,0.3513901181066317,0.8802237135228452,0.3887635354030897,5.625416550752735,5.778409667408826,0.5906134419242179,0.6638004296491827,0.5561920009078426,0.005393977417276949,0.7906118218423739,0.005730933685401115,0.109375,0.10783849919684348,0.3521530808435316,0.8948168940243435,0.41785190649135423,4.777018236334711,5.841399311800423,0.3811958500700303,0.6265821213912288,0.53828955860986,-0.020464019410424014,0.7665789258604497,0.05396342783529034,0.1875,0.10381053103284828,0.152317880794702,0.9016007633649129,0.3737999035876337,4.77154128295399,5.595826005832832,0.4318857145203404,0.3493910795442073,0.29589055962811217,0.47880674178143157,0.8995129621073964,-0.028506889870408995,1.0,0.040552192819309746,0.15564439832758567,0.9814028142121504,0.1646200280317917,5.175478603704287,5.177070440534921,0.9275348824284508,0.11790303202926737,0.010326022405295655,0.8914379831258791,0.9946469984640323,0.7903853617045237,0.9859342268989545,0.16277815449087038,0.03663487721971948,0.07166644769012305,-0.004143153300535533,0.15795573262823315,0.018151722039289803,0.2894941273131057,-0.10702122670031276,0.7281212773491847,0.9687863291725151,0.12882545892742867,0.06265966627755479,0.09567243853254506,0.028677384015332583,0.8267234612969548,0.9645820369520798,0.8705721385257879,0.872052188764508
