event,log_residual_rms,log_crest,asymmetry,lag1_corr,spectral_entropy,top10pct_energy
0,-0.37274106681513774,0.6674263113966393,0.47563379524499294,0.242380678550892,0.9163720397527816,0.8011092557251906
1,0.5824461512257397,0.5860035178422437,0.4045440530319489,0.7593664557812181,0.74673978868153,0.5762917402942083
2,0.6433423679566536,0.522927128864798,-0.508060563744712,0.9405125382709585,0.59559845444107,0.7788301413640971
3,0.11184589202240014,0.38940448757851925,-0.055522465973995384,0.5580304094452674,0.8604406970928032,0.3938667595121985
4,-1.0536049848239342,1.0519018604779784,0.29728323715552174,-0.007905138339920965,0.9994028021583262,0.992925688976378
5,0.5970330492693469,0.31975489928778433,0.06358665613586437,0.9500307037497943,0.4406569615779473,0.30653057128820105
6,0.568882894567962,0.29906479047118373,-0.4790285357405345,0.952939682265161,0.5756909829755302,0.3388754522533302
7,0.010756157345279254,0.698204732345241,0.45146492208687883,0.3865085907860776,0.8889925736017401,0.6990702347166652
8,1.316347247461279,0.3669440975673434,0.19682473439494347,0.909767532888339,0.5937511915905894,0.29699068677463136
9,0.5859848313261502,0.2743864589194827,-0.41550566067640976,0.9508075859045958,0.5564034569242805,0.29024786728789
10,-8.0,-8.0,0.0,0.0,-0.0,0.0
11,0.8235443372593458,0.2416027322447921,-0.44511340960171003,0.9673435988606113,0.3822794739928283,0.28390622394564
12,0.7584586809320245,0.6233773264544511,0.420576473511608,0.6615874579140313,0.8603743026785778,0.570497210537137
13,1.0767838420644023,0.5724130801079825,0.4551905366471823,0.9267402908908201,0.6049692309489474,0.5955455193256812
14,0.6963477757412346,0.4233967070904691,-0.16187697272987073,0.9635483739027144,0.4750476573013867,0.25632618346733427
15,0.4471583976150375,0.4232131995425684,0.021015836487252415,0.9217001431552949,0.6085492359294247,0.41721582737120355
16,-1.7881669538288374,0.81593500255062,-0.41717663720245196,0.9984333252523944,0.04626169033907252,0.9550803004323977
17,-0.9030899869919435,0.8996702747267908,0.353463251695732,-0.015936254980079778,0.9770622486158034,0.9857390873015868
18,-0.10755768347869397,0.7204537410663506,0.42761172449514423,0.2865655483313814,0.9612451208374457,0.6577155884595832
19,1.3204773954796516,0.36459815627871195,0.2600886968347602,0.9027794878748523,0.6753876558088463,0.3285467480187138
20,0.1952053400667097,0.5291285117861855,0.41181028901932915,0.4101183129893262,0.9198673394517423,0.5031736676046137
21,-0.9030899869919435,0.8996702747267908,0.35346325169573195,-0.015936254980079688,0.9549098060468496,0.9857390873015872
22,0.6119228369298085,0.5949666194308946,0.36538764368367754,0.9554147431620315,0.6772829019676968,0.5894778672715975
23,-1.8233015210382093,0.8384773564972807,-0.40654665269623863,0.9979266398525373,0.03778668725765529,0.9598345799101304
24,-0.6834236400768122,0.6738866996031537,0.4543414455150834,0.15598602583788976,0.9779625069020103,0.9596619897959185
25,0.35486719730986,0.5532841047716804,-0.22765927435360575,0.8143205943168191,0.6166475352239048,0.5776993651437902
26,0.3415738790183177,0.5161683543569635,-0.4526578963128006,0.8815639663764281,0.7110271386971718,0.5591997865118927
27,0.07978552879255159,0.5746837843083378,-0.19783560149627255,0.5230194242663416,0.7620857523959351,0.5681787399974846
28,0.16263963148083158,0.5550966986947697,-0.3038089343577388,0.7225995566176237,0.6036908734086929,0.5819081994482782
29,-0.4383805241347972,0.7343325873545694,0.44541173534506734,0.24077023694497957,0.9464951457938046,0.924346817389138
30,1.0503047603269267,0.22528945558109942,-0.09445661546613379,0.9784939527229158,0.3637715076778854,0.24525965833898622
31,0.6924485228922402,0.419442357169114,0.13088203243170862,0.9585534664875494,0.5371414305715458,0.36933068209607095
32,0.5305522143206366,0.41730909244430503,0.020286152256867803,0.9325683187818539,0.4638097678499436,0.47611207159022906
33,0.07824755842579753,0.5694227276036554,-0.013226398882618987,0.4450147406086077,0.8969649257484666,0.49647189864661456
34,-8.0,-8.0,0.0,0.0,-0.0,0.0
35,1.1115926302317314,0.5725421796306196,0.27020250790681255,0.8943989468382201,0.6936418322299188,0.5801354027340988
36,0.4078740498597698,0.5089753935017348,0.07716507315486626,0.8686281966970951,0.5942496314677767,0.45967856534752755
37,-0.5647431821795103,0.8644096497323351,0.428158174386883,-0.0038257149686002612,0.9570233517696275,0.9432462431693989
38,0.5602741132315234,0.5176731388803658,0.41295876825278777,0.6639171731639653,0.858377642134185,0.5003487222993066
39,0.41794045324511514,0.5661305799961632,-0.2905825207927342,0.917655840598712,0.5910517815720847,0.600626777372895
40,0.4817160599946165,0.36966579500135893,0.21323988696467708,0.9257809025742749,0.6566481671252797,0.3214670503495581
41,0.48886521922382337,0.5009521322549023,-0.1447574268434694,0.9157884163078354,0.5681395745865706,0.43349404248970386
42,0.20622790734536625,0.3858082671845002,0.17407280185139262,0.7278485186106098,0.7665335800102194,0.3651790574249519
43,-8.0,-8.0,0.0,0.0,-0.0,0.0
44,0.2791580024909597,0.6068769839025905,-0.24828870608340028,0.8691819339163176,0.5932027902009313,0.617034537385814
45,0.37482096997892667,0.6283631900269471,-0.10182084267964545,0.8687144502507935,0.5374260112712685,0.6301915456228467
46,0.2093764861894926,0.63868213486451,-0.14144530529063593,0.7852819422159907,0.7632250749071909,0.5893483189056667
47,0.08638380966136402,0.5776137512800565,0.23302251894608844,0.6291167284452558,0.8320096552889467,0.4632964821169228
48,0.2000183460782287,0.5040322984026514,0.2166985637369918,0.7490138134944841,0.7885926323137037,0.4366552873460857
49,0.2357906640596721,0.40959434153665547,-0.23323545485528258,0.7038089560956987,0.8060725738530341,0.40663402633313245
50,0.481104614451188,0.5255288803456543,0.2699964361100117,0.9187059578045703,0.5109156338475644,0.5839664189950222
51,0.33207872599094257,0.5090956609816382,-0.40062692734390004,0.8629226754487145,0.4915353543904461,0.622494734395499
52,0.3182441801871046,0.58493789569145,-0.3529193109730174,0.8231530733734039,0.6199539298222855,0.6409493141287282
53,0.38910124226557563,0.6172639907001887,-0.2806325107294658,0.8766389976135511,0.6328970743674056,0.5454779685573007
54,0.3768908593685484,0.37885690898141955,-0.23123422399228905,0.8902301697991105,0.4298357100655093,0.3662377452601268
55,0.41231796638160156,0.6341414029707251,0.14419325412637843,0.7031674619262677,0.7524643141460144,0.48414865105249383
56,0.541980743040345,0.608235316695341,0.45161030584411255,0.7144226299207321,0.704283702110506,0.5785410889923616
57,-0.09162197513772756,0.7476489445971617,0.3050375727272837,0.24479235793523857,0.8265781383360744,0.7367504041010825
58,-1.2041199826559248,1.2032700902169777,0.24999614401718148,6.952539726141611e-18,0.0011338570774551957,0.9964767156862744
59,0.8509616569663035,0.45096637050945537,0.45558078238265753,0.961793509398795,0.30753900673173606,0.4695154073122434
60,0.5904427283476429,0.43182786074831125,0.04004670996195325,0.9570325191778734,0.5676075645289715,0.31491764707988257
61,0.29119305501791654,0.6719956853670728,-0.2931983585857294,0.8439451707456809,0.6431007940034296,0.6505788364302113
62,0.4420021657456434,0.45963293466734906,-0.4689288786145592,0.9223395222522531,0.5106527026519392,0.5046781123903475
63,0.08308153226417198,0.5321943760057801,0.028273232744711774,0.6180873224005412,0.7764431281907856,0.4132447763967156
64,0.41431434316753374,0.4897845842113787,-0.4924043825853224,0.9108866904711154,0.49338724495536557,0.5795709274522642
65,0.010882506550379215,0.5612772122252716,0.23400909467869627,0.3925860504025812,0.8482270408808228,0.46616287552804947
66,0.27774632521787196,0.5949468248541183,0.30182297010101444,0.6434461059061158,0.7578064393000941,0.4960487853484529
67,0.40705099738002826,0.512464328288914,-0.39095874901442185,0.8911497688037591,0.5521178324215292,0.6235348890492938
68,0.6391341926684526,0.27997034790415243,-0.1040991217028283,0.9656669443975681,0.5150644551547393,0.25513115374979156
69,0.20017487625120586,0.4868658730333998,0.14743025139701157,0.7242671504487982,0.7764626634406869,0.43429049660943037
70,0.27615735391371027,0.5329560041761556,0.2590824213979291,0.6902238282101166,0.8327130371725415,0.5007765763656731
71,0.6482720372954585,0.5123243829266452,0.32947511754301145,0.8157803954123244,0.6475264036471016,0.426261958983957
72,0.3506237098088975,0.3640565746130728,0.06342925292462265,0.8083109620603474,0.8083528357929947,0.312917450398185
73,0.20645739230539345,0.8129645367665752,0.3123173582479833,0.4744491921823848,0.851505403458325,0.7178857491412486
74,0.7754086647078153,0.23778140055132674,-0.37939902187434604,0.9436439809289235,0.42026640010828886,0.27907973201589076
75,0.06365919592480547,0.49631560204558367,0.08307463163538732,0.4368666093376553,0.8400154414542251,0.44487394946586134
76,0.7364195334148912,0.4228607094691979,0.1863557121602804,0.9653187591122498,0.5982845969426387,0.4972782710908289
77,0.2509252901411093,0.6862967536810323,0.4291918214860479,0.4661334779268896,0.7921748807963982,0.6161674231281671
78,-0.15740914007480727,0.7680101014810695,0.4130036650784283,0.20345003332725572,0.9484310229708974,0.6893618185625094
79,-1.2041199826559248,1.2032700902169777,0.2499961440171815,-0.003937007874015728,0.9990144774855492,0.9964767156862746
80,0.38491403617755793,0.7630279548722987,0.29196878551834565,0.6967476284651349,0.8451445704661059,0.5149616362167103
81,0.03234105045389445,0.5910393825285853,-0.11161702385518468,0.20043662472565407,0.9306039240676957,0.4930904849560845
82,0.22986699537817795,0.5945976561737822,0.20830945852801627,0.5945213664180028,0.9042675413470436,0.5090007016923895
83,0.5910265700482698,0.5125974745130176,0.3374982586155633,0.7527142538825546,0.7010507476510215,0.44098603832015176
84,-0.3112325982173482,1.0094469749695263,0.2523858824565516,0.32402335914708763,0.9881355936435114,0.9996055604647824
85,-0.9030899869919435,0.8996702747267908,0.353463251695732,-0.015936254980079764,0.9606472325313834,0.9857390873015868
86,-0.23187864658084045,0.707437269489104,0.455587780106234,0.1806182738274882,0.9232478004632066,0.760766686212523
87,0.12998908183493882,0.5911137285042648,0.2751539813296965,0.5697179490799902,0.9158151375670447,0.4441361242507602
88,-0.5051499783199059,0.8023644044730716,0.41562297764661893,0.028455313941073992,0.9497629863012457,0.9462931052326544
89,0.5924676490831265,0.5237256732786838,0.4240932137726872,0.6947126104301502,0.7734626144789717,0.45148464702656693
90,0.8011713563445977,0.4082906138562192,0.33474135016392675,0.9423582169208905,0.45119406224097097,0.42685128579194526
91,0.14711920067509873,0.47060763995153276,0.2722074380756957,0.5992888499093828,0.921190532597721,0.43407104327742163
92,-0.06704105802408487,0.7797517894511571,0.4176682952698148,0.45455968280467435,0.8484856571452881,0.7090490668154917
93,-0.7815709626487963,0.7755506535407398,0.4063159950721615,-0.028225806451612892,0.9426527229108422,0.9747427208835343
94,-1.2041199826559248,1.2032700902169777,0.24999614401718148,-0.0039370078740157384,0.9994181206978844,0.9964767156862746
95,0.09867867542636892,0.6105509406511775,0.18856165944911385,0.5285740724035842,0.8097586698518185,0.46930666360593204
96,0.9983840654340719,0.4081414456711639,0.35757618507575456,0.9269303099108801,0.5308236160484221,0.39146048215417056
97,0.21819068724908705,0.5941903940593887,0.28744907957561394,0.7062224520075314,0.8037091965865745,0.5630692501124208
98,0.3212710465022716,0.6028388663726538,-0.47943257550955637,0.8795292624973187,0.4851277566152434,0.734376985159671
99,0.12928819298517447,0.4839728420187033,-0.17927845673192452,0.6330002343507724,0.8695228080838913,0.45368315671302795
100,0.4255404691800324,0.4458068608892551,0.1970909251935369,0.8726756423488267,0.7544560633961982,0.35573914681576607
101,0.4682117062511955,0.4743935083203118,-0.1319071272589585,0.932406569481883,0.5091092042274484,0.5363141894288161
102,-0.5140143618001218,0.8123578871502384,0.427649816518249,0.15297202797202794,0.9294007896629796,0.9374347144846797
103,0.31781191637334255,0.5144317337649068,-0.4346557298540599,0.8105534458528176,0.5326238860715548,0.6122734736435903
104,0.4643268216775968,0.573594382713686,0.24228646063440284,0.7606470305896559,0.6507863798591987,0.5158338303088479
105,-0.27572924937656923,1.0309039565316997,0.2849881269706476,0.4019920506454759,0.8607379321011728,0.9954348729295558
106,0.41893395601698674,0.5392747779265783,0.11537220021838715,0.8934530529392892,0.5852248862779266,0.5055465234148849
107,0.23623840909813676,0.501755135884642,0.20069886225259634,0.7048667766683303,0.8019788140842642,0.4381556594764623
108,-1.2041199826559248,1.2032700902169777,0.24999614401718148,-0.003937007874015717,0.9993496790955629,0.9964767156862746
109,0.052091387566546216,0.47026836899574775,0.14627111810292653,0.4998034330713327,0.8268781100021534,0.41374145230457515
110,0.632151927349256,0.5325496890583433,-0.029768237567081378,0.8878315304567364,0.48071006045658055,0.5195320099026012
111,0.15011218613826255,0.4170606708793969,0.09201177217595709,0.6396984686747941,0.8293200656371096,0.3622338097078233
